"Central Fire Station", "c_fstn@hkfsd.gov.hk", "Mr. CHOI Ka Wing", 2522 0367
"Kotewall Fire Station", "ko_fstn@hkfsd.gov.hk", "Mr. HUNG Hing Chiu", 2858 4803
"Kong Wan Fire Station", "kw_fstn@hkfsd.gov.hk", "Mr. MAN Fu Kong", 2802 0947
"Sheung Wan Fire Station", "sw_fstn@hkfsd.gov.hk", "Mr. LAU Ying Kai", 2559 2417
"Victoria Peak Fire Station", "ko_fstn@hkfsd.gov.hk", "Mr. HUNG Hing Chiu", 2858 4803
"Wan Chai Fire Station", "wch_fstn@hkfsd.gov.hk", "Mr. HO Chun Pang", 2891 2587
"Braemar Hill Fire Station", "bh_fstn@hkfsd.gov.hk", "Mr. LI Tsz Chun", 2571 5063
"Chai Wan Fire Station", "cw_fstn@hkfsd.gov.hk", "Mr. CHEUNG Wing Hei", 2558 7178
"North Point Fire Station", "np_fstn@hkfsd.gov.hk", "Mr. LEUNG Kai Chuen", 2561 5260
"Sai Wan Ho Fire Station", "swh_fstn@hkfsd.gov.hk", "Mr. SHIN Kar Tsai", 2569 3165
"Shau Kei Wan Fire Station", "skw_fstn@hkfsd.gov.hk", "Mr. TSANG Chiu Lok", 2884 3197
"Tung Lo Wan Fire Station", "tlw_fstn@hkfsd.gov.hk", "Mr. CHIU Wing Fai", 2571 8760
"Aberdeen Fire Station", "abd_fstn@hkfsd.gov.hk", "Mr. YAM Ka Wang", 2552 5280
"Ap Lei Chau Fire Station", "alc_fstn@hkfsd.gov.hk", "Mr. WONG Yiu Man", 2814 8836
"Chung Hom Kok Fire Station", "chk_fstn@hkfsd.gov.hk", "Mr. TSANG Wai Ming", 2813 2496
"Kennedy Town Fire Station", "k_fstn@hkfsd.gov.hk", "Mr. NG Siu Ming", 2818 7046
"Pok Fu Lam Fire Station", "pfl_fstn@hkfsd.gov.hk", "Mr. CHEUNG Pit Shing", 2551 8301
"Sandy Bay Fire Station", "sb_fstn@hkfsd.gov.hk", "Mr. NG Kin Man", 2904 9672
"Aberdeen Fireboat Station", "", "", 
"Central Fireboat Station", "", "", 
"Cheung Chau Fire Station", "", "", 
"Cheung Chau Fireboat Station", "", "", 
"Cheung Sha Fire Station", "", "", 
"Discovery Bay Fire Station", "", "", 
"Lamma Fire Station", "", "", 
"Mui Wo Fire Station", "", "", 
"North Point Fireboat Station", "", "", 
"Peng Chau Fire Station", "", "", 
"Tai O (Old) Fire Station", "", "", 
"Tai O Fire Station", "", "", 
"Tsing Yi Fireboat Station", "", "", 
"Tuen Mun Fireboat Station", "", "", 
"Kai Tak Fire Station", "", "", 
"Ma Tau Chung Fire Station", "mtc_fstn@hkfsd.gov.hk", "Mr. NG Chi Chiu", 2711 0292
"Ngau Chi Wan Fire Station", "ncw_fstn@hkfsd.gov.hk", "Mr. LUKE Shung Chi, Stephen", 2320 0292
"Sai Kung Fire Station", "", "", 
"Shun Lee Fire Station", "sl_fstn@hkfsd.gov.hk", "Mr. YIM Ying Kit", 2341 9420
"Wong Tai Sin Fire Station", "wts_fstn@hkfsd.gov.hk", "Mr. TUNG Wing Kei", 2329 5733
"Kowloon Bay Fire Station", "kb_fstn@hkfsd.gov.hk", "Mr. CHOY Ka Fai",2799 1522
"Kwun Tong Fire Station", "kt_fstn@hkfsd.gov.hk", "Mr. TANG Chit Nam", 2342 4612
"Lam Tin Fire Station", "lt_fstn@hkfsd.gov.hk", "Mr. SHEN Chuen", 2772 5313
"Po Lam Fire Station", "pl_fstn@hkfsd.gov.hk", "Mr. TSE Lai Yiu",2701 0989
"Tai Chik Sha Fire Station", "tcs_fstn@hkfsd.gov.hk", "Mr. CHAN Chun Fai", 2623 9613
"Yau Tong Fire Station", "yt_fstn@hkfsd.gov.hk", "Mr. WONG Ping Kuen", 2340 6316
"Hung Hom Fire Station", "hh_fstn@hkfsd.gov.hk", "Mr. NG Ka Lok", 2363 0207
"Tsim Sha Tsui Fire Station", "tst_fstn@hkfsd.gov.hk", "Mr. LEUNG Kam Wah", 2366 2389
"Tsim Tung Fire Station", "tt_fstn@hkfsd.gov.hk", "Mr. CHAN Tsz Kwan", 2722 4871
"Yau Ma Tei Fire Station", "ymt_fstn@hkfsd.gov.hk", "Mr. PONG Keng Tak", 2385 0307
"Cheung Sha Wan Fire Station", "csw_fstn@hkfsd.gov.hk", "Mr. YEUNG Keung", 2729 5807
"Kowloon Tong Fire Station", "klt_fstn@hkfsd.gov.hk", "Mr. HO Kin Ho", 3793 6411
"Lai Chi Kok Fire Station", "lck_fstn@hkfsd.gov.hk", "Mr. LEUNG Kin Ming", 2742 4221
"Mongkok Fire Station", "mk_fstn@hkfsd.gov.hk", "Mr. WOO Yuen Kwong", 2396 6409
"Shek Kip Mei Fire Station", "skm_fstn@hkfsd.gov.hk", "Mr. CHOW Yuk Pui", 2778 1098
"Airport South Fire Station", "", "", 
"Airport Centre Fire Station", "", "", 
"Airport North Fire Station", "", "", 
"East Sea Rescue Berth", "", "", 
"West Sea Rescue Berth", "", "", 
"Kwai Chung Fire Station", "kc_fstn@hkfsd.gov.hk", "Mr. SUN Fat Yee", 2426 5694
"Lai King Fire Station", "lk_fstn@hkfsd.gov.hk", "Mr. LEE Kui Hung", 2743 2380
"Lei Muk Shue Fire Station", "lms_fstn@hkfsd.gov.hk", "Mr. SZE Kun Fu", 2421 2428
"Sham Tseng Fire Station", "smt_fstn@hkfsd.gov.hk", "Mr. CHUNG Tao Fung", 2496 4167
"Tsuen Wan Fire Station", "tw_fstn@hkfsd.gov.hk", "Mr. YEUNG Chi Yung", 2499 5044
"Chek Lap Kok South Fire Station", "clk_fstn@hkfsd.gov.hk", "Mr. CHAN Kai On", 2949 9081
"Ma Wan Fire Station", "mwn_fstn@hkfsd.gov.hk", "Mr. AU Ting Hin", 2986 3289
"Penny's Bay Fire Station", "pb_fstn@hkfsd.gov.hk", "Mr. NG Chin To", 2983 6451
"Tsing Yi Fire Station", "ty_fstn@hkfsd.gov.hk", "Mr. TSE Chok Wai", 2495 0451
"Tsing Yi South Fire Station", "tys_fstn@hkfsd.gov.hk", "Mr. AU Ting Hin", 2432 7823
